type	count
BinaryExpression	386
IfStatement	550
Identifier	827
ReturnStatement	581
FunctionExpression	212
LogicalExpression	58
ThisExpression	20
Literal	755
BlockStatement	18
UnaryExpression	106
ExpressionStatement	1818
MemberExpression	297
Property	475
CallExpression	381
ConditionalExpression	41
ObjectExpression	177
ThrowStatement	4
ForInStatement	41
WhileStatement	49
VariableDeclarator	213
ArrayExpression	98
VariableDeclaration	1119
ForStatement	72
AssignmentExpression	162
FunctionDeclaration	386
BreakStatement	5
TryStatement	13
NewExpression	12
UpdateExpression	9
SwitchCase	3
EmptyStatement	18
SwitchStatement	3
