counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;8326;Literal;4011;m 
1;0;IfStatement;3995;c 
1;5;IfStatement;3975;m 
1;3;IfStatement;3922;m 
2;0;IfStatement;3903;c 
2;0;IfStatement;3891;c 
3;0;IfStatement;3872;c 
4;0;Property;3860;c 
4;0;ArrayExpression;3879;c 
5;0;Identifier;3878;c 
6;0;Property;3866;c 
6;0;ReturnStatement;3852;c 
7;0;Property;3840;c 
9;0;Literal;3837;c 
9;0;Property;3828;c 
10;0;Literal;3825;c 
10;0;CallExpression;3810;c 
11;0;Literal;3807;c 
13;0;Literal;3802;c 
14;51;BinaryExpression;3719;m 
16;0;ReturnStatement;3706;c 
16;64;CallExpression;3691;m 
17;0;ReturnStatement;3674;c 
18;0;Literal;3675;c 
18;0;ThrowStatement;3618;c 
19;0;Literal;3619;c 
20;0;BinaryExpression;3531;c 
